"","x"
"730","Voxx International is an American consumer electronics company founded as Audiovox Corporation in 1965 and renamed Voxx in 2012. It is headquartered in Hauppauge, New York. The company specializes in four areas: OEM and after-market automotive electronics, consumer electronics accessories, and consumer and commercial audio equipment.
Voxx International over the years has purchased a number of recognizable brandnames when the original companies were no longer viable as independent specialty shops, including  Acoustic Research, Advent, Code Alarm, Invision, Jensen, Klipsch, Prestige, RCA, 808 Audio, and Terk, among others. Its international brands include Audiovox, Hirschmann, Heco, Incaar, Oehlbach, Mac Audio, Magnat, Schwaiger, and others. In addition the company licenses the Energizer brand."
"731","Tech Data Corporation (commonly referred to as Tech Data) is an American multinational distribution company specializing in IT products and services headquartered in Clearwater, Florida. Tech Data provides a broad range of product lines, logistics capabilities and value-added services that enable technology manufacturers and resellers, such as Apple, Cisco, Dell, Fortinet, Hewlett Packard Enterprise, Hewlett-Packard Inc., IBM, Lenovo, LG, Microsoft, Samsung, Sony, Symantec, Trend Micro, Viewsonic and VMware, to deploy IT solutions.
Tech Data is now one of the world's largest distributors of IT products and services, generating $37.7 billion in net sales for the fiscal year ended January 31, 2017. The company ranked No. 83 on the 2018 Fortune 500 and one of Fortune's ""World's Most Admired Companies."""
"732","8x8 Inc. is a provider of cloud communications and customer engagement solutions. 8x8 solutions include cloud-based voice, contact center, video, mobile and unified communications for small, medium to enterprise businesses."
"733","Akorn Inc. is an American generic pharmaceuticals manufacturer based in Lake Forest, Illinois. It is a component of the NASDAQ Biotechnology Index."
"734","Netflix, Inc. () is an American media-services provider headquartered in Los Gatos, California, founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is its subscription-based streaming OTT service which offers online streaming of a library of films and television programs, including those produced in-house. As of April 2019, Netflix had over 148 million paid subscriptions worldwide, including 60 million in the United States, and over 154 million subscriptions total including free trials. It is available almost worldwide except in mainland China (due to local restrictions) as well as Syria, North Korea, and Crimea (due to US sanctions). The company also has offices in the Netherlands, Brazil, India, Japan, and South Korea. Netflix is a member of the Motion Picture Association of America (MPAA).
Netflix's initial business model included DVD sales and rental by mail, but Hastings abandoned the sales about a year after the company's founding to focus on the DVD rental business. Netflix expanded its business in 2007 with the introduction of streaming media while retaining the DVD and Blu-ray rental business. The company expanded internationally in 2010 with streaming available in Canada, followed by Latin America and the Caribbean. Netflix entered the content-production industry in 2012, debuting its first series Lilyhammer.
Since 2012, Netflix has taken more of an active role as producer and distributor for both film and television series, and to that end, it offers a variety of ""Netflix Original"" content through its online library. By January 2016, Netflix services operated in more than 190 countries. Netflix released an estimated 126 original series and films in 2016, more than any other network or cable channel.  Their efforts to produce new content, secure the rights for additional content, and diversity through 190 countries have resulted in the company racking up billions in debt: $21.9 billion as of September 2017, up from $16.8 billion from the previous year. $6.5 billion of this is long-term debt, while the remaining is in long-term obligations. In October 2018, Netflix announced it would raise another $2 billion in debt to help fund new content."
"735","d2h  is an Indian pay TV brand, part of Dish TV India Ltd providing direct broadcast satellite service—including satellite television, audio programming, and interactive television services to commercial and residential customers in India. As of December 31, 2017, d2h has a market share of 19% among the pay DTH operators. Dish TV India and d2h merger has been concluded, which has created the largest DTH service provider in the country with a subscriber base of about 29 million."
"736","Agios Pharmaceuticals Inc. is a public American pharmaceutical company focused on developing small-molecule anti-cancer therapeutics targeting cancer cell metabolism via the growth factor pathway. Among the proteins under investigation by the company are IDH1 and IDH2. The company was founded in 2008 (or 2007) by Lewis Cantley, Tak Mak and Craig Thompson. Agios is a Delaware corporation headquartered in Cambridge, Massachusetts. The company tendered an initial public offering in July 2013."
"737","Del Frisco's Restaurant Group (NASDAQ: DFRG) is an American steakhouse restaurant chain company which focuses on steaks. The company was founded in 1981 and became public in 2012. Del Frisco's Restaurant Group currently operates Del Frisco's Double Eagle Steak House, Del Frisco's Grille, Barcelona Wine Bar and bartaco with 73 locations across 16 states in the United States. Market capitalization at the end of 2017 was US$327.84M."
"738","LPL Financial Holdings Inc (commonly referred to as LPL Financial) was founded in 1968 and is considered the largest independent broker-dealer in the United States. As of 2018 the company had more than 16,000 financial advisors, over $681 billion in advisory & brokerage assets, and generated approximately $5.2 billion in annual revenue for the 2018 fiscal year.LPL Financial was formed in 1989 through the merger of two brokerage firms—Linsco (established in 1968) and Private Ledger (established in 1973)—and has since expanded its number of independent financial advisors both organically and through acquisitions.  LPL Financial has main offices in Boston, Fort Mill, and San Diego. 
LPL's subsidiaries are LPL Financial LLC, LPL Insurance Associates, Inc., Fortigent, LLC, and The Private Trust Company, N.A."
"739","First Midwest Bancorp, Inc is headquartered in Chicago, Illinois, just east of O'Hare Airport. The company's predecessor traces back to Joliet, Illinois. From there the company has grown to serve many Chicago suburbs including northwest Indiana, downstate Illinois, and the Quad Cities area including Iowa.
First Midwest Bank provides retail and business banking through more than 125 branches. In 2006, First Midwest acquired Bank Calumet for $307 million in cash, expanding its presence in the northwest Indiana area.On October 23, 2009, First Midwest Bank acquired certain deposits and loans of Westmont-based First DuPage Bank in a transaction facilitated by the Federal Deposit Insurance Corporation. First Midwest Bank agreed to assume all of the deposits - $230 million, and agreed to purchase approximately $260 million in assets at a discount of $32 million. First Midwest Bank entered into a loss-share transaction with the FDIC providing First Midwest Bank with protection from the FDIC for loan losses.On April 23, 2010, First Midwest Bank acquired Peotone Bank, taking on $130 million in assets and $127 million in deposits in a transaction facilitated by the Federal Deposit Insurance Corporation.On August 13, 2010, First Midwest acquired Palos Bank and Trust Company in a transaction facilitated by the Federal Deposit Insurance Corporation. Palos Bank and Trust Company had approximately $493.4 million in total assets and $467.8 million in total deposits, as of June 30, 2010. First Midwest Bank will pay the FDIC a premium of 1.0 percent to assume all of the deposits of Palos Bank and Trust Company. In addition to assuming all of the deposits of the failed bank, First Midwest Bank agreed to purchase essentially all of the assets. The FDIC and First Midwest Bank entered into a loss-share transaction on $343.8 million of Palos Bank and Trust Company's assets.First Midwest Bank assumed Waukegan Savings Bank's $77 million in deposits and $89 million in assets following its closure by the FDIC. The two Waukegan branches will open as First Midwest locations.The company acquired naming rights to the First Midwest Bank Amphitheatre in Tinley Park, Illinois."
"740","Amyris NASDAQ: AMRS is a science and technology leader in the research, development and production of pure, sustainable ingredients for the Health & Wellness, Clean Beauty and Flavors & Fragrances markets.  Amyris applies its exclusive, advanced technology, including state-of-the-art machine learning, robotics and artificial intelligence to engineer yeast, that when combined with sugarcane syrup through fermentation, is converted to highly pure molecules for specialty ingredients. Amyris manufactures sustainably-sourced ingredients at industrial scale for B2B partners and further distribution to 2,000 of the world's top brands, reaching more than 200 million consumers. Amyris stands by its No Compromise™ promise that everything it makes is sustainably sourced, performs better, costs less, has higher purity and is better for people and the planet than products made with existing processes.  Amyris also owns Biossance – the fastest-growing, clean skincare brand in the US that delivers No Compromise™ beauty. More information about the company is available at www.amyris.com

The company went public on NASDAQ in October 2010 (AMRS) but as of January 2013, was trading at less than 30% of its initial offering price due to lack of commercial success in cost-effectively producing ""drop in"" synthetic transportation fuel, which was to be its initial, major focus. The firm has now focused its attention on higher-priced and higher-margin products that are not in the transportation fuel area"
"741","Sapiens International Corporation is a publicly traded company, headquartered in Israel, that develops computer software for the insurance industry, with a growing presence in the financial services sector. It offers integrated core software and business services, and a full digital suite for the property and casualty/general insurance; life, pension and annuities; and reinsurance markets. Sapiens also services the workers’ compensation and financial and compliance markets. The company’s portfolio includes policy administration, billing and claims; underwriting, illustration and electronic application; reinsurance and decision management software. Sapiens’ digital platform features customer and agent portals, and a business intelligence platform.
Sapiens' shares are traded on the NASDAQ Capital Market and on the Tel Aviv Stock Exchange. As of late December 2017, the company possesses 2,500 employees and a market cap of $565.4 million."
"742","TiVo Corporation (formerly Rovi Corporation and Macrovision Solutions Corporation) is an American technology company. Headquartered in San Jose, California, the company is primarily involved in licensing its intellectual property within the consumer electronics industry, including digital rights management, electronic program guide software, and metadata. The company holds over 6,000 pending and registered patents. The company also provides analytics and recommendation platforms for the video industry.
In 2016, Rovi acquired digital video recorder maker TiVo Inc., and renamed itself TiVo Corporation. On November 13, 2017, TiVo announced the appointment of the veteran tech exec Enrique Rodriguez as the company's new CEO."
"743","The Applied Genetic Technologies Corporation is a publicly traded (NASDAQ: AGTC) biotechnology company that is part of the NASDAQ Biotechnology Index. It was founded in 1999 and has its headquarters in Alachua, Florida.The company focuses on ophthalmologic genetic diseases. The company's technologies are aimed at products that might have the potential to treat   achromatopsia, X-linked retinoschisis, X-linked retinitis pigmentosa, and age-related macular degeneration.  The company has six products in various stages of development; as of 2016, none had yet been approved."
"744","Bed Bath & Beyond Inc. is an American chain of domestic merchandise retail stores in the United States, including Puerto Rico; Canada; and Mexico. Founded in 1971, the stores sell home goods primarily for the bedroom and bathroom, as well as kitchen and dining room. The company is included in the S&P 400 and Global 1200 Indices. It is also counted among the Fortune 500 and the Forbes Global 2000."
"745","Psychemedics Corporation is a United States corporation which provides patented, FDA-cleared, CAP certified clinical laboratory services for the detection of drugs of abuse. The company's corporate headquarters are located in Acton, Massachusetts and its laboratory operations are located in Culver City, California."
"746","Not to be confused with Proofpoint Systems, Inc.Proofpoint is an enterprise security company based in Sunnyvale, California that provides software as a service and products for inbound email security, outbound data loss prevention, social media, mobile devices, digital risk, email encryption, electronic discovery (""eDiscovery”), and email archiving. It claims over half of the Fortune 100 as users of its solutions."
"747","Simmons Bank is a bank with operations in Arkansas, Colorado, Kansas, Missouri, Oklahoma, Tennessee, and Texas. It is the primary subsidiary of Simmons First National Corporation, a bank holding company."
"748","Red Robin Gourmet Burgers and Brews, or simply Red Robin, is an American chain of casual dining restaurants founded in September 1969 in Seattle, Washington. In 1979, the first franchised Red Robin restaurant was opened in Yakima, Washington.  Red Robin is now headquartered in Greenwood Village, Colorado, and, as of Dec 30, 2018 operates 573 restaurants, 484 which are company owned (2 Canadian provinces and 39 states) and 89 franchised (16 states)."
"749","Umpqua Holdings Corporation, d.b.a. Umpqua Bank, is a financial holding company based in downtown Portland, Oregon, United States. Headquarters are in the Umpqua Bank Plaza, formerly the headquarters of Benj. Franklin Savings and Loan. The firm has three principal operating subsidiaries: Umpqua Bank (the Bank), Umpqua Investments (formerly Strand, Atkinson, Williams and York (Investments)), and Pivotus Ventures.
The company’s main operating segments are personal banking and lending, business banking and lending, and wealth management. The bank serves consumers and businesses in the community.
As of 2015, Umpqua Bank had $24 billion in assets and $18 billion in deposits and was ranked among the largest 60 banks in the nation. Its parent company, Umpqua Holdings, is publicly traded. As of 2016, Umpqua Bank was the largest Oregon-based bank and had 350 branches in Oregon, Washington, California, Nevada and Idaho."
"750","Datawatch Corporation is an American software company that creates and sells self-service data preparation solutions. The entire platform includes Datawatch Monarch Complete, Monarch Server and Monarch Swarm."
"751","Frontier Communications Corporation is a telecommunications company in the United States. It was known as Citizens Utilities Company until May 2000 and Citizens Communications Company until July 31, 2008. The company previously served primarily rural areas and smaller communities, but now also serves several large metropolitan markets.
Frontier is the fourth largest provider of digital subscriber line (based on coverage area) in the United States. In addition to local and long-distance telephone service, Frontier offers broadband Internet, digital television service, and computer technical support to residential and business customers in 29 states in the United States."
"752","Mannatech is a multinational multi-level marketing firm that sells dietary supplements and personal care products, with a history of false claims and lawsuits. It was founded in November 1993 by Samuel Caster and is headquartered in Flower Mound, Texas. The company's stock is traded on the NASDAQ exchange under the symbol MTEX. As of 2017, Mannatech employed 252 people and sold its products through some 220,000 independent sales associates.Mannatech and its salespeople made false claims of anti-disease benefits about its lead product called ""Ambrotose"" which contains sugars derived from plants. The company was profitable soon after its founding until about 2008, when it started losing money due to exposure of its business practices through a class action lawsuit based on the false health claims, a critical 20/20 news special, and a civil suit filed by the Attorney General of Texas."
"753","Virgin America Inc. was an American airline that operated between 2007 and 2018, when it was integrated into Alaska Airlines. The airline primarily focused on operating low-fare service between cities on the West Coast and other major metropolitan areas, with higher quality service. It was headquartered in the San Francisco Bay Area city of Burlingame, and operated domestic flights to major U.S. cities, primarily from hubs at San Francisco and Los Angeles as well as a smaller focus city operation at Love Field in Dallas.
The airline began operations in 2007 as an independent airline using branding licensed from the United Kingdom-based Virgin Group, which also controls the brand of the Virgin Atlantic and Virgin Australia airlines. The Alaska Air Group acquired Virgin America in April 2016, at a cost of approximately $4 billion and continued to operate Virgin America under its own name and brand until the airline was fully merged into Alaska Airlines on April 24, 2018."
"754","PCM, Inc. is a direct marketing company that offers technology products and services. The company is based in El Segundo, California.
PCM started in 1987 as a direct market catalog via telemarketing, the Internet, direct marketing, print catalogs, and three retail showrooms.
The company has an annual total revenue of US$2.25 billion and currently has over 40 locations in the United States, Canada, Pakistan and the Philippines. It employs around 3,400 people worldwide as of 2016."
"755","Scholastic Corporation is an American multinational publishing, education and media company known for publishing, selling, and distributing books and educational materials for schools, teachers, parents, and children.  Products are distributed to schools and districts, to consumers through the schools via reading clubs and fairs, and through retail stores and online sales. The business has three segments: Children Book Publishing & Distribution (Trade, Book Clubs and Book Fairs), Education, and International. Scholastic holds the perpetual US publishing rights to the Harry Potter and Hunger Games book series. Scholastic is the world's largest publisher and distributor of children's books and print and digital educational materials for pre-K to grade 12.
In addition to Harry Potter and The Hunger Games, the company is known for its school book clubs and book fairs, classroom magazines such as Scholastic News, and popular book series: Clifford the Big Red Dog, Goosebumps, The Magic School Bus, Captain Underpants, Animorphs, and I Spy. Scholastic also publishes instructional reading and writing programs, and offers professional learning and consultancy services for school improvement. Clifford the Big Red Dog serves as the mascot for Scholastic."
"756","GoPro, Inc. (marketed as GoPro and sometimes stylised as GoPRO) is an American technology company founded in 2002 by Nick Woodman. It manufactures action cameras and develops its own mobile apps and video-editing software. Founded as Woodman Labs, Inc, the company eventually focused on the connected sports genre, developing its line of action cameras and, later, video editing software.
It developed a quadcopter drone, Karma, released in October 2016. In January 2018, Karma was discontinued and the company hired JPMorgan Chase to pursue options of selling the company. However, a month later, the CEO denied this. GoPro has continued its business in manufacturing action cameras."
"757","Cowen Inc., is an American multinational independent investment bank and financial services company that operates through two business segments: a broker-dealer and an investment management division. The company's broker-dealer division offers investment banking services, equity and credit research, sales and trading, prime brokerage, global clearing and commission management services. Cowen's investment management segment offers actively managed alternative investment products. Founded in 1918, the firm is headquartered in New York and has offices worldwide. As of 2018, Cowen managed US$11 billion in alternative investment strategies.
Cowen is known for successfully identifying disruptive companies and emerging industries early on. Examples include Amazon.com, and the emerging US$75 billion cannabis industry, having been the first Wall Street firm to publish cannabis research."
"758","Fluidigm Corporation is a public, American company engaged in the design, manufacture and sale of biological research equipment based on integrated fluidic circuit technology.  In 2009, Fluidigm was described as ""the world's leading manufacturer of microfluidic devices.""  Among the applications to which Fluidigm products are put to use are protein crystallization, genotyping, DNA analysis and PCR."
"759","Otter Tail Corporation is an energy company based in Fergus Falls, Minnesota. Its main subsidiary is the Otter Tail Power Company.
As of 2007, Otter Tail Power Company serves at least 423 towns at retail and delivers power to about 14 municipal utilities. The company currently has a workforce of over 750 employees, a generating capacity of 660 megawatts, and owns over 5,000 miles (8,000 km) of electrical power transmission lines (the majority of which are operated at 41.6 kV). The company serves 128,500 customers in North Dakota, Minnesota, and South Dakota."
"760","Esperion Therapeutics, Inc.  is a public American pharmaceutical company focused on the development of bempedoic acid, an orally available small molecule designed to lower elevated levels of LDL-C. The company is headquartered in Ann Arbor, Michigan."
"761","Ulta Beauty Inc. (formerly known as Ulta Salon, Cosmetics & Fragrance Inc. until January 2017), is a chain of beauty stores in the United States, headquartered in Bolingbrook, Illinois. Ulta Beauty carries cosmetics and skincare brands, men's and women's fragrances, nail products, bath and body products, beauty tools and haircare products. Each store is also equipped with a salon, Benefit brow bar and Dermalogica skin bar."
"762","Cimpress N.V. is a Dutch company which invests in and operates a wide variety of businesses which use mass customization to configure and produce small quantities of individually customized goods. Those products are sold to small businesses, graphic designers and consumers through a number of customer-facing brands that Cimpress operates."
"763","IPC Healthcare (NASDAQ: IPCM), previously known as IPC The Hospitalist Company, is a publicly traded corporation which operates a national physician group practice focused on the delivery of hospital medicine and related facility-based services. IPC providers manage the care of patients in coordination with primary care physicians and specialists in over 1,900 facilities in 28 states across the U.S.   The company name is derived from an earlier company called In-Patient Consultants Management, Inc. and the NASDAQ ticker name was changed to IPCM in 2008. The company changed its name to IPC Healthcare in January 2015.Adam Dean Singer (born in Los Angeles on April 20, 1960) has been director, Chairman, and Chief Executive Officer of IPC since he founded the company in 1995, and in 2006, was designated as the Chief Medical Officer. In 1991, Singer acquired a private practice in pulmonary medicine that shortly thereafter merged with two other pulmonary physicians to become part of Consultants For Lung Disease, Inc.The company disclosed that on June 7, 2010, it received a civil investigative demand (CID) issued by the Department of Justice (DOJ), U.S. Attorney's Office for the Northern District of Illinois. The CID requested information concerning claims that IPC had submitted to Medicare and Medicaid. In 2013, the US Justice Department joined a ""whistleblower"" lawsuit against IPC, alleging that IPC physicians sought payment for higher and more expensive levels of medical service than were actually performed – a practice commonly referred to as ""upcoding"".  Specifically, the lawsuit alleges that IPC encouraged its physicians to bill at the highest levels regardless of the level of service provided, trained physicians to use higher level codes and encouraged physicians with lower billing levels to ""catch up"" to their peers. Class action lawsuits against the company for overbilling are now being contemplated by various law firms specializing in such claims.  In February 2014, the former Attorney General of the State of Louisiana announced an investigation into whether IPC officers and/or directors breached their fiduciary duties to IPC's shareholders or otherwise violated state or federal laws. In June 2014, the United States Justice Department filed a civil lawsuit against IPC alleging that it submitted false claims to federal health care programs in violation of the False Claims Act by knowingly engaging in systematic overbilling for hospital evaluation and management services billed to Medicare, Medicaid, and other federal health benefit programs.In February 2017, the company paid $60 million settle the False Claims Act qui tam lawsuit in the Northern District of Illinois. The suit alleged that IPC encouraged and trained physicians in upcoding and utilized incentive compensation schemes linked to billing performance, which in some cases led to incentive compensation exceeding the physician's base salary.
In 2011, the company was the subject of an investigative report looking at the use of hospitalists in San Antonio area hospitals and at the death of a patient under an IPC physician's care.  A 2013 article published by JAMA raised concerns about the quality of care provided by hospitalists with excessive workloads.


== References =="
"764","Oramed Pharmaceuticals, or Oramed (Hebrew: <U+05D0><U+05D5><U+05E8><U+05DE><U+05D3><U+200E>), is a publicly traded company engaged in the development of oral drug delivery systems – most notably an oral insulin capsule for treating type 2 diabetes. The company was founded in 2006 and is headquartered in Jerusalem, Israel. Its shares are listed on the NASDAQ Capital Market."
"765","Essendant, formerly known as United Stationers, is a national wholesale distributor of office supplies, with consolidated net sales of $5.3 billion. Essendant stocks over 160,000 items including traditional office products, office furniture, janitorial and break room supplies, technology products, industrial supplies and automotive aftermarket tools and equipment. Essendant is headquartered in Deerfield, Illinois and also has operations in Dubai, United Arab Emirates (UAE). The company operates as an online retailer and sells industrial tools direct to consumers."
"766","Vericel Corporation is a public, American biopharmaceutical company which was known prior to October 2014 as Aastrom Bio.  Aastrom Bio was formed in 1989 in Ann Arbor, Michigan.In the spring of 2014, Aastrom Bio acquired Sanofi's cell therapy and regenerative medicine business which Sanofi had acquired when purchasing Genzyme in 2011.  This transformed Aastrom in several ways: it increased the employee count by 8-fold and provided a revenue stream and products to market, which it had not had before.In October 2014, the company changed its name from Aastrom Bio to Vericel and relocated its headquarters from Ann Arbor, Michigan to Cambridge, Massachusetts.


== References =="
"767","GSE Systems, Inc. develops and markets software-based simulation and training products to nuclear, oil, and gas electricity generators, and the chemical process industries. It also sells software for monitoring and optimizing plant and signal analysis to the power industry.
GSE Systems was established in 1994 from three simulation companies that came together.  They were part of an original heritage from  Singer-Link where they were involved in high-intensity simulation applications such as flight simulators.  Since 1994 the company has grown through acquisitions.  The primary businesses continue to be process control focused in the chemical, pharmaceutical and food industry, and simulation, which is also focused on fossil and nuclear simulation.
GSE Systems is headquartered in suburban Baltimore, Maryland. Global operations are conducted from offices in Sykesville (Maryland), Nyköping (Sweden), Beijing (China), Stockton-on-Tees (UK), and Chennai (India).
Timeline:
1929 Edwin Albert Link invents and patents the first Link Trainer, forms Link Aeronautical Corporation in Binghamton, NY.
1930 Link Flying School organized in Binghamton.
1933 Link Aeronautical Corporation moves to Endicott, NY to maintain the flight school, repair airplanes, and operate charter flights.
1934 Link Aeronautical Corporation returns to Binghamton.
1935 Link Aviation Devices, Inc. is formed in Binghamton, NY to manufacture trainers etc. Link Aviation Devices, Inc. renamed Link Aviation, Inc.
1937 Link Manufacturing Company Limited is formed in Gananoque, Ontario to build
trainers for Canadian and UK customers.
1953 Ed Link steps down as president of Link Aviation.
1954 Ed and George Link sell Link Aviation to General Precision Equipment Corporation.
1956 Link Aviation acquires a controlling interest in Air Trainers Limited of England and changes its name to Air Trainers Link Limited.
1959 Ownership of Air Trainers Link Limited is transferred to the parent company, GPE, and the name changes to General Precision Systems Ltd.
1965 GPE buys the operations of the Riverdale, MD plant of Electronics Division of ACF Industries (previously ERCO) and moves it to Silver Spring, MD.
1967 Redifon, a member of Rediffusion, buys Air Trainers Link Ltd. and renames it Redifon Air Trainers Ltd.
1968 Singer Corporation acquires GPE. Edwin Link remains as consultant until 1972.
1984 Simuflite Training International Inc. is founded by Singer.
1987 Singer’s Link Division is incorporated as Link Corporation.
1988 Paul A. Bilzerian buys Singer Corporation.
1988 CAE Industries, Ltd. buys Link Corporation of Silver Spring, MD.
1988 Singer’s simulation manufacturing business is reorganized under the name of LinkMiles with two companies: Link-Miles Limited located in Lancing, England and LinkMiles International Simulation Corporation based in Binghamton, NY.
1989 Singer is renamed Bicoastal Corporation.
1989 Bicoastal Corporation files Chapter 11 bankruptcy.
1990 Link-Miles Simulation Corporation of Columbia, MD is renamed S3 Technologies.
1990 Thomson-CSF of France buys Link-Miles Limited, merges it with Redifussion Simulation, and renames it Thomson Training & Simulation.
1992 Bicoastal Corporation is dissolved.
1993 ManTech International buys S3 Technologies.
1995 Hughes Electronics Corporation buys CAE-Link.
1994 GSE Systems (Global Simulation & Engineering Systems) absorbs S3 Technologies.
Major Milestones:
In 2011, Construction of Westinghouse AP1000 nuclear power plant simulator, a first-of-a-kind project
In 1977, GSE was a pioneer provider of high-fidelity refinery and fossil power plant simulators. Since then, GSE has built more full-scope simulators than all of its competitors combined.
In 1971, GSE Systems, then Link Simulation, built the first commercial full-scope nuclear power plant simulator.
Major Acquisitions:
GSE Systems Acquires EnVision Systems, Inc in the year 2011.  EnVision Systems, Inc. (“EnVision”), which provides interactive multi-media tutorials and simulation models, primarily to the petrochemical and oil & gas refining industries.  EnVision, with headquarters in Madison, NJ and an office in Chennai, India, was founded in 1991. EnVision’s tutorials and simulation models serve the rapidly growing entry-level training market for the oil & gas refining and specialty chemicals industries. EnVision’s products provide a foundation in process fundamentals and plant operations and interaction. With this knowledge base, users may then graduate to the full-scope, high-fidelity, real-time simulators provided by GSE. EnVision has completed more than 750 installations in over 28 countries and its approximately 130 clients include Shell Oil Company, BP, Total and Chevron."
"768","BOK Financial Corporation is a bank holding company headquartered in the BOK Tower in Tulsa, Oklahoma. The company is 60% owned by George Kaiser, who acquired the bank in 1991 from the FDIC. It is the largest bank in Oklahoma, with 14% of the total deposits in the state. As of December 17, 2017, 17% of its loan portfolio was to borrowers in the petroleum industry.
BOK is an acronym for ""Bank of Oklahoma"".
The company operates 7 banks with branches in 8 states: Bank of Oklahoma, Bank of Texas, Bank of Albuquerque, Bank of Arizona, Bank of Arkansas, Colorado State Bank and Trust, and MoBank. It also operates TransFund, Cavanal Hill Investment Management, BOSC, Inc. and the Milestone Group."
"769","Diamondback Energy is a company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Midland, Texas.
As of December 31, 2018, the company had 992 million barrels of oil equivalent (6.07×109 GJ) of estimated proved reserves, of which 63% was petroleum, 19% was natural gas, and 18% was natural gas liquids. The company's reserves are all in the Permian Basin."
"770","Qorvo is an American semiconductor company that designs, manufactures, and supplies radio-frequency systems and solutions for applications that drive wireless and broadband communications, as well as foundry services. The company, which trades on NASDAQ, was created by the merger of TriQuint Semiconductor and RF Micro Devices, which was announced in 2014 and completed on January 1, 2015. The headquarters for the company originally were in both Hillsboro, Oregon (home of TriQuint), and Greensboro, North Carolina (home of RFMD), but in mid-2016 the company began referring to its North Carolina site as its exclusive headquarters."
"771","PayPal Holdings, Inc. is an American company operating a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders. The company operates as a payment processor for online vendors, auction sites, and many other commercial users, for which it charges a fee in exchange for benefits such as one-click transactions and password memory. PayPal's payment system, also called PayPal, is considered a type of payment rail.
Established in 1998 as Confinity, PayPal had its initial public offering in 2002, and became a wholly owned subsidiary of eBay later that year.  eBay spun off PayPal in 2015.
The company ranked 222nd on the 2018 Fortune 500 of the largest United States corporations by revenue."
"772","Napco Security Technologies, Inc. was set up in 1969 and now is based in Amityville, New York. The company focuses on security products, such as electronic locking devices, alarm systems, and building access control systems. The company was formerly known as Napco Security Systems, Inc."
"773","Gilead Sciences, Inc., commonly known as Gilead Sciences or Gilead (also styled GILEAD) , is an American biotechnology company that researches, develops and commercializes drugs. The company focuses primarily on antiviral drugs used in the treatment of HIV, hepatitis B, hepatitis C, and influenza, including Harvoni and Sovaldi.
Headquartered and founded in Foster City, California, Gilead is a member of the NASDAQ Biotechnology Index and the S&P 500."
"774","ScanSource, Inc. is a publicly held American technology company headquartered in Greenville, South Carolina, that provides point-of-sale, barcode, physical security, video, voice, data, networking, unified communications and collaboration, and cloud and telecom services. According to the company, ScanSource serves more than 500 suppliers and sells to approximately 33,000 reseller customers in North America, Latin America and Europe.
In August 2016, ScanSource entered the recurring revenue telecom and cloud services market by acquiring Intelisys, a technology services distributor. This acquisition brought the company’s number of employees worldwide to more than 2,500.Founded in 1992, ScanSource has been named one of the Best Places to Work in South Carolina the past four years, and was named to FORTUNE magazine's 2018 List of World's Most Admired Companies. ScanSource ranks #653 on the Fortune 1000. ScanSource's teams provide value-added solutions and operate from two segments: Worldwide Barcode, Networking & Security, which includes POS Portal, and Worldwide Communications & Services, which includes Intelisys and Canpango.


== References =="
"775","Mitcham Industries, Inc. (NASDAQ:MIND) was set up in 1987, and now is based in Huntsville, Texas. The company markets geophysical and other equipment to seismic data acquisition contractors conducting surveys on land, marsh, and marine areas, both shallow and deep water. There are mainly two segments operating in the company, namely an Equipment Leasing segment (for the oil and gas industry) and an Equipment Manufacturing segment. In October 2011, the Company opened a new logistics and repair facility in Budapest, Hungary, and three months later, it opened two new subsidiaries, namely Mitcham Europe Ltd. and Mitcham Marine Leasing Pte Ltd. On September 21, 2015, Founder and CEO Billy F. Mitcham Jr. died, and Guy M. Malden and Robert P. Capps were installed as Co-Chief Executive Officers."
"776","Tetra Tech, Inc. is a Pasadena, California-based consulting and engineering services firm. The company provides consulting, engineering, program management, and construction management services in the areas of water, environment, infrastructure, resource management, energy, and international development. Specific services for consulting and engineering projects include applied science, information technology, engineering, design, construction management, and operations and maintenance.Engineering News-Record ranked Tetra Tech number one in water for 15 years, and as the number four design firm on its 2018 “Top 500 Design Firms” list."
"777","Charm Communications Inc. (NASDAQ: CHRM) is the largest domestic television advertising company in China. It was incorporated in 2008 and is headquartered in Beijing. The company provides advertising agency services from planning and managing advertising campaigns. The company was listed as a public traded company in NASDAQ in 2010."
"778","Finisar Corporation is a manufacturer of optical communication components and subsystems. In 2008, Finisar merged with Optium Corporation.
Finisar's products include optical transceivers, optical engines, active optical cables, optical components, optical instrumentation, ROADM & wavelength management, optical amplifiers, and RF-over-Fiber. Their products enable high-speed voice, video and data communications for networking, storage, wireless, and cable TV applications.
In November 2018, II-VI Incorporated acquire Finisar."
